제목,주소,날짜
 금연라디오 nonstop이 읽어주는 금연정책,https://www.youtube.com/watch?v=Bkpk9L_t7SM,4개월 전
 금연유치원 금연국내정책 알아보기,https://www.youtube.com/watch?v=vCtvsK9dL5Q,4개월 전
DJN 코리아 인턴 기자 하이라이트 l 대한민국의 금연정책,https://www.youtube.com/watch?v=yJ7ivtWfK1E,4개월 전
금연서포터즈 15기 담다 D ㅣ 국내 금연정책,https://www.youtube.com/watch?v=RgPoouMN6CA,4개월 전
 보건복지부 금연 서포터즈 15기 금연 정책 알리미 금연 정책에 대해 알아보자 ,https://www.youtube.com/watch?v=NtpiHxkTbI8,4개월 전
금연정책,https://www.youtube.com/watch?v=KTrp7LKEOoE,4개월 전
 금연서포터즈 15기 이예금 해외 금연 정책,https://www.youtube.com/watch?v=tSftudKbufA,4개월 전
 금연 손으로 하는 금 도 끼 금연구역 방구석 금연뉴스 | 보건복지부 금연서포터즈 15기 금 도 끼,https://www.youtube.com/watch?v=y-4XssZpfEQ,4개월 전
알쓸신금 제5화 금연정책,https://www.youtube.com/watch?v=R8YltnVXuak,4개월 전
 SMOKING GUN 대박or쪽박 금연정책프로그램 ,https://www.youtube.com/shorts/mMGh76EmQZQ,4개월 전
 한눈에 보는 우리나라 금연정책 ,https://www.youtube.com/watch?v=iTkf_CbQqis,4개월 전
우리나라 금연 정책 살펴보기 |보건복지부 금연 서포터즈 15기 담담 ,https://www.youtube.com/watch?v=9FZo7kVcCng,4개월 전
금며들다 금연특강 우리나라 금연정책,https://www.youtube.com/watch?v=i0I1YhQQ1CY,4개월 전
금연정책 한눈에 알아보기 | 금온하제 | 10월 활동,https://www.youtube.com/watch?v=BbhImyJ7CRs,4개월 전
국내 금연 정책 금연서포터즈15기 길라잡이 공통미션 금연 정책 금연정책홍보 노담,https://www.youtube.com/watch?v=YgC7YdHwZNA,4개월 전
 금연서포터즈 15기 폐단 알고 싶어 금연 정책 ,https://www.youtube.com/watch?v=-gkNUIvp_Wc,4개월 전
 금연서포터즈 15기 HP2030 금연 정책 방향 | 보건복지부 | 금연서포터즈 | 금연정책 | HP2030,https://www.youtube.com/watch?v=yYkOIKREJXE,4개월 전
우리나라의 금연정책을 알아보았다,https://www.youtube.com/shorts/XPqyAh_hGbc,4개월 전
 보건복지부 금연서포터즈 15기 방탄소넌담 우리나라의 금연정책에 대해 알아 보아요 ,https://www.youtube.com/watch?v=95Q9UDkPqqA,4개월 전
 보건복지부 금연서포터즈 15기 레모나 국가에서 지원하고 있는 금연정책 알아보기 ,https://www.youtube.com/watch?v=DmESc1Nqzp0,5개월 전
 금연 친구 옷에 땀 묻히는 금연정책 계단 게임 | 보건복지부 금연서포터즈 15기 금 도 끼,https://www.youtube.com/watch?v=POnc6MxpXlI,5개월 전
 금연정책 똑TALK 한국 금연정책 다 알려드릴게요 ,https://www.youtube.com/watch?v=mD-uKxLSlKw,5개월 전
우리나라 금연정책 알리기 ,https://www.youtube.com/watch?v=lzeBBPB5TMw,5개월 전
포어스와 함께보는 금연정책정보,https://www.youtube.com/watch?v=xeZqZv26Kcg,5개월 전
대한민국의 금연전책의 변화,https://www.youtube.com/watch?v=qgZRcbA04_Y,5개월 전
SOS구조대와 알아보는 금연 정책 ,https://www.youtube.com/watch?v=-fgXdq8Vflw,5개월 전
 보건복지부 대학생 금연 서포터즈 15기 2021 대한민국 금연 정책,https://www.youtube.com/watch?v=sa0l6UbevrY,5개월 전
 금연서포터즈 15기 3분 브리핑 금연정책에는 어떤 것이 있을까요 ,https://www.youtube.com/watch?v=KeUv00_HjFI,5개월 전
 금연서포터즈 15기 연금술사 꼬꼬무금 꼬리에 꼬리를 무는 금연의 역사,https://www.youtube.com/watch?v=Av24AyT8taU,5개월 전
 금연교육지 국내 금연정책 살펴보기 ,https://www.youtube.com/watch?v=sNlATufOZ70,5개월 전
연등이 알려주는 금연정책과 흡연율의 상관관계 우리나라의 흡연율은 어느정도일까 ,https://www.youtube.com/watch?v=ZZuySIg6_cQ,5개월 전
우리나라 금연 정책,https://www.youtube.com/watch?v=IYtbLVyb5eQ,5개월 전
우리는 금연자다 웹드라마 금연동맹 EP05 금연 정책,https://www.youtube.com/watch?v=0fY-k4uBK2U,5개월 전
 보건복지부 15기 금연서포터즈 내 소원은 말이야 ,https://www.youtube.com/watch?v=XAeJOLQnNjA,5개월 전
 보건복지부 15기 금연서포터즈 클린브이 담배광고 판촉 및 후원규제 클린브이와 함께 제대로 알아보자 ,https://www.youtube.com/watch?v=yiWmzCwOUOY,5개월 전
국내 국외의 금연정책에서 알아보기 ,https://www.youtube.com/watch?v=2Gkk98E80_Q,5개월 전
 금연서포터즈 15기 살금살금팀 금연정책홍보 금연구역지정 및 확대 금연 서포터즈 노담,https://www.youtube.com/watch?v=lsVFIZKzMLE,5개월 전
 금연 서포터즈 15기 SUM 어린왕자 숨 프로젝트 4편 ,https://www.youtube.com/watch?v=Y4oePLwWeFU,5개월 전
 금연 서포터즈 15기 살금살금팀 다양한 금연 관련 정책,https://www.youtube.com/watch?v=nvggp64LeJM,8개월 전
 보건복지부 금연서포터즈 15기 위캔 온라인 금연교육센터,https://www.youtube.com/watch?v=sKhCAUBVA1c,8개월 전
 금연민국 정부에 요구하는 시급한 금연정책 5가지,https://www.youtube.com/watch?v=CYCeMiqmMRw,9개월 전
 통역의기술 금연 정책보다 더 중요한 것 ,https://www.youtube.com/watch?v=ecmSdkapvFY,10개월 전
암센터 서홍관 원장 담뱃값 8000원 최고의 금연정책 ,https://www.youtube.com/watch?v=XR6xudUhkTk,1년 전
 정책만리 20 금연하면 서초 금연정책의 클라쓰를 선도 금연정책 ,https://www.youtube.com/watch?v=400gTL8qHWc,1년 전
정책만리 금연하면 서초 금연정책의 클라쓰를 선도 금연정책 ,https://www.youtube.com/watch?v=agGzIssYjUo,1년 전
3편 흡연제로를 위한 우리나라와 각 나라의 노력 노출을 줄이자 담배없는 세대선언 진열전시문제,https://www.youtube.com/watch?v=CzNqhtYK7gA,1년 전
 영산고 부산 금연정책동아리발표회 교육감표창,https://www.youtube.com/watch?v=tTIbT0w-TeE,1년 전
2020년 청소년 흡연 예방을 위한 정책 제안 연구동아리 발표 대회,https://www.youtube.com/watch?v=lTTCjLaXG74,1년 전
 연꽃 전세계 금연정책을 알아보자 ,https://www.youtube.com/watch?v=arF2troCTtY,1년 전
 무조건 금연 말고 감축 담뱃세 도입해야 ,https://www.youtube.com/watch?v=8kZjsmNu2wQ,1년 전
 SEN 라이브 포럼 금연정책의 뉴 패러다임을 찾다 2부 20200924,https://www.youtube.com/watch?v=A836paS5EdM,1년 전
 SEN 라이브 포럼 금연정책의 뉴 패러다임을 찾다 3부 20200924,https://www.youtube.com/watch?v=k3BYb6Nmjs4,1년 전
 SEN 라이브 포럼 금연정책의 뉴 패러다임을 찾다 1부 20200924,https://www.youtube.com/watch?v=kTJL6a4Q9j4,1년 전
금연정책 솔까말 토론 산으로 가는 금연정책 청소년은 캡슐 톡톡 전자담배는 옥죄기 ,https://www.youtube.com/watch?v=LlJ7t8pSu7k,1년 전
 트릭아트부착메이킹 그녀가 못생겨진 까닭 흡연 탓 어글리자 스스로 끊을 것인가 금연 트릭아트 모나리자 어글리자 부산 학교주변 금연정책 텍스워크 ASPTW 아스팔트아트,https://www.youtube.com/watch?v=gdjPOxcaaTQ,1년 전
금연트릭아트 흡연혐오코끼리 부산에 나타나다 메이킹영상 금연 트릭아트 모나리자 코끼리 부산 학교주변 금연정책 텍스워크 ASPTW 아스팔트아트,https://www.youtube.com/watch?v=haCNIxIeakg,1년 전
대한민국 담배규제 정책을 소개합니다 ,https://www.youtube.com/watch?v=IPxhBeVi19U,1년 전
 금연민국 담배 세금 확실하게 찾아 먹기 금연 꿀 정보,https://www.youtube.com/watch?v=9OY6x6QONRQ,1년 전
 2020 금연학교 ep 01 법과 정치 시간ㅣ수업 시간에 선생님이 안오셨다 아이패드로 놀면서 금연정책 정복하기 ,https://www.youtube.com/watch?v=6XxyrUrFtOg,1년 전
 세계금연의날 인터뷰 한국금연운동협의회 회장이 말하는 우리나라 가장 시급한 금연정책 서홍관 회장 ,https://www.youtube.com/watch?v=M_9HudDAUGg,1년 전
 정영진 최욱의 걱말서 이 금연정책 에 열 받은 흡연자 정영진,https://www.youtube.com/watch?v=KboXOdsyxeg,1년 전
금연정책 및 사업홍보 강화를 위한 영상 콘텐츠 제작 2,https://www.youtube.com/watch?v=33-5UM0-uLw,1년 전
금연정책 및 사업홍보 강화를 위한 영상 콘텐츠 제작 1,https://www.youtube.com/watch?v=q1nIlaWN3ns,1년 전
 청소년흡연 청소년이 금연해야만 하는 이유 금연친구 Xsmoke net ,https://www.youtube.com/watch?v=RS7ZpnLvJNM,1년 전
금연을 도와주는 정부정책 6가지,https://www.youtube.com/watch?v=fIC-y___Ifc,1년 전
 제41회 토픽2 기출문제 듣기 유형 11 듣고 화자의 생각 태도 고르기 31 32 ,https://www.youtube.com/watch?v=BHIq2CgLmwY,2년 전
우리나라 금연정책의 변화 YTN 사이언스,https://www.youtube.com/watch?v=STlIYRW9Mwo,2년 전
2019 금연 왓썹 2편 ,https://www.youtube.com/watch?v=aBIBw-EofDI,2년 전
 생활경제 금연 성공 위한 정책은 KBS뉴스 News ,https://www.youtube.com/watch?v=ZZEUyv-s8Iw,2년 전
담배 전쟁 다큐S프라임 YTN 사이언스,https://www.youtube.com/watch?v=D4G0glv--88,2년 전
생활의 발견 사각지대 흡연과의 전쟁 금연정책으로 인한 사각지대가 있다 20190723,https://www.youtube.com/watch?v=sl2ZXK91sZA,2년 전
 흡연정지 보행흡연 줄이는 방법 2가지,https://www.youtube.com/watch?v=NQU2UO7cgbU,2년 전
 부산 영산고 금연정책동아리 발표 최종 연습,https://www.youtube.com/watch?v=a-1_PuRBkoE,2년 전
전자담배 판매량은 늘고 금연성공률은 떨어지고 갈길 잃은 금연 클리닉 KBS뉴스 News 충북 KBS청주,https://www.youtube.com/watch?v=Ve2ortqS_LI,2년 전
여행가서 담배 때문에 처벌받을 수 있다 나라별 금연정책 숙지 필수 ㅣ13기금연서포터즈 슬기로운금연생활 ,https://www.youtube.com/watch?v=7ZZLSzEvBCg,2년 전
담뱃갑 흡연경고 면적 50 75 로 확대,https://www.youtube.com/watch?v=qahRZ3o3TiE,2년 전
흡연 경고그림 내년 12월부터 커진다 연합뉴스TV YonhapnewsTV ,https://www.youtube.com/watch?v=LMfyEtDbA7w,2년 전
생활의 발견 사각지대 흡연과의 전쟁 금연정책으로 인한 사각지대가 있다 20190723,https://www.youtube.com/watch?v=5RIZ4rNAro0,2년 전
금연구역 늘어나는데 담배연기는 왜 못피할까 ㅣ서경이의 길빵 없는 점심시간 도전기,https://www.youtube.com/watch?v=m0EYXTFTY1M,2년 전
 VOA 뉴스 북한 금연 정책 큰 성과 못 내 ,https://www.youtube.com/watch?v=TuNvGjnRAxA,2년 전
어린이집 앞 금연 구역인데 흡연실 버젓이 동작 현대HCN,https://www.youtube.com/watch?v=5B_YV6OzYAo,2년 전
전자담배 2차대전 위기의 금연정책,https://www.youtube.com/watch?v=2JwBrNmw43U,2년 전
실효성 없는 야외 금연구역 해법은 2019년 03월 14일,https://www.youtube.com/watch?v=W-S3K2Rj8M0,3년 전
국가금연지원센터장vs 흡연 40년 애연가 밥으로 친구 가능 ,https://www.youtube.com/watch?v=Mrwudy0yrJo,3년 전
학생들이 생각하는 금연 정책은,https://www.youtube.com/watch?v=3ObQ0CGBdMo,3년 전
인천시 청사및 1급 금연건물 내 흡연적발 단속이 절실,https://www.youtube.com/watch?v=A1bLS8gksXA,3년 전
제31회 세계 금연의 날 기념식 개최,https://www.youtube.com/watch?v=y5a8oSUxQao,3년 전
담배 피우지 마세요 성북구 금연지도원 활동 시작 by 동네방네뉴스 김지연 아나운서,https://www.youtube.com/watch?v=Pr6luxSOl50,3년 전
 시험방송11 금연정책,https://www.youtube.com/watch?v=RatrOiJx9fE,3년 전
우리나라 금연 정책은 언제부터 시작되었을까 YTN 라이프,https://www.youtube.com/watch?v=tIrQAIFuJbo,4년 전
 금연정책 효과 높이려면 담뱃값 경고그림 더 키워야 ,https://www.youtube.com/watch?v=vZzH6dRCa6c,4년 전
최근 강력한 금연정책이 실시된 동남아 국가는 어디일까요 YTN KOREAN,https://www.youtube.com/watch?v=HSjPJEhbC-4,4년 전
대한민국 금연 정책 어제와 오늘,https://www.youtube.com/watch?v=3s3vKznJKU8,4년 전
궐련형 전자담배 국내 첫선 금연정책에 찬물 연합뉴스TV YonhapnewsTV ,https://www.youtube.com/watch?v=-AkkdOwVSb8,4년 전
 tbsTV 서울시 주민 밀착 금연서비스 강화 추진,https://www.youtube.com/watch?v=jCx4xXkaoCo,4년 전
효과적인 금연 국제심포지엄 ,https://www.youtube.com/watch?v=PwXePnAW2Eg,5년 전
 tbs TV 시시각각 이슈10분체크 2017 서울시 금연정책,https://www.youtube.com/watch?v=cv0MlRbXnzI,5년 전
 tbs TV 시시각각 이슈 10분체크 새해맞이 금연 성공법,https://www.youtube.com/watch?v=Azqeh2oJATI,5년 전
 뉴스투데이 새해 금연 다짐 이어가려면,https://www.youtube.com/watch?v=ku3DOylLx-U,5년 전
 뉴스데스크 새해 금연 다짐 이어가려면,https://www.youtube.com/watch?v=3T2keiODc1A,5년 전
비가격 금연정책 시행,https://www.youtube.com/watch?v=k92w349jxYA,5년 전
노원구 2017년 새해 금연 정책 지속 서울경기케이블TV뉴스 ,https://www.youtube.com/watch?v=uCqQylAyW44,5년 전
 톡톡 비가격 금연정책 12 26 월 톡 YTN 라디오,https://www.youtube.com/watch?v=n7JlwPVxQbU,5년 전
 뉴스 따라잡기 담배 샀는데 섬뜩 새 금연 정책 반응은 ,https://www.youtube.com/watch?v=rce6ZvPxHVA,5년 전
 비가격 금연정책 담뱃갑 경고그림 시행 관련 브리핑 ,https://www.youtube.com/watch?v=JGl4A7eAavI,5년 전
대륙의 금연정책,https://www.youtube.com/watch?v=g6Iuu63v1Dc,5년 전
뉴미디어저널 카드뉴스 31 금연치료 정책 발길 돌리는 정책 ,https://www.youtube.com/watch?v=tcJff3vDrWo,5년 전
시행 3년차 앞둔 금연정책 규제 지원 함께 가야 ,https://www.youtube.com/watch?v=SogR-9SA4Ds,5년 전
 다금바리 3분강의 해외금연정책 편 벌금낼래 금연할래 ,https://www.youtube.com/watch?v=60-zC-jSJCk,5년 전
 오늘 생각 담배 판매 다시 늘어 담뱃세 인상 금연정책 효과 미미,https://www.youtube.com/watch?v=u9z-lKcnIyM,5년 전
 담뱃세 인상 금연정책 효과 없나 다시 느는 담배 판매량,https://www.youtube.com/watch?v=j8-pmSPTdTM,5년 전
담배판매 다시 늘어 담뱃세인상 금연정책 효과 미미,https://www.youtube.com/watch?v=KdGSq98RBH4,5년 전
SBS 생활경제 인천광역시 금연 정책,https://www.youtube.com/watch?v=2D12gZmKzfw,5년 전
초강력 금연운동 묻지마 범죄 대책 복지부 장관에게 묻는다 YTN Yes Top News ,https://www.youtube.com/watch?v=8U_XEqcp0Xk,5년 전
 모두가 알아야 할 담배의 진실 제29회 세계 금연의 날 기념식 열려 YTN Yes Top News ,https://www.youtube.com/watch?v=zsMV1RoPDPM,5년 전
강력 금연정책에 담배 상표출원도 감소세,https://www.youtube.com/watch?v=F6hNslvGTps,5년 전
 tbsTV 아침반찬 강화한 금연정책 실효성은 ,https://www.youtube.com/watch?v=XfcptEnEGbo,5년 전
 인천 인천시 금연 성공률 52 에 도전 YTN Yes Top News ,https://www.youtube.com/watch?v=57A2aD-coMQ,5년 전
 수도권 비가격 금연정책 기대효과는 YTN 라디오,https://www.youtube.com/watch?v=bafisBTRbS8,5년 전
전자담배도 세금 올린다 복지부 꼼수 금연정책 발표,https://www.youtube.com/watch?v=ZHwREtzJ5XA,5년 전
70 중도 포기 금연 정책 효과 시들 ,https://www.youtube.com/watch?v=b7u3YFDcQWU,5년 전
 Goodtv News 20160428 대한기독교여자절제회 금주금연정책 건의,https://www.youtube.com/watch?v=Dj5pX04Ujt8,5년 전
일본의 금연 정책 좋은생각 4월호 ,https://www.youtube.com/watch?v=FB_xl08XFSk,5년 전
정부 이달말 금연정책 로드맵 발표,https://www.youtube.com/watch?v=N4b1mW1ROtQ,5년 전
담뱃갑 경고 그림 금연에 효과 충분 vs 일시적 ,https://www.youtube.com/watch?v=GgARKZEjW3A,5년 전
MBC경남 뉴스데스크 2016 03 01 1 겉도는 금연정책,https://www.youtube.com/watch?v=e0YaQpfMDcU,6년 전
MBC경남 뉴스데스크 2016 03 01 2 겉도는 금연정책,https://www.youtube.com/watch?v=oQbJ5H6Khb0,6년 전
금연구역 PC방 58 서 재떨이 꽁초 나와,https://www.youtube.com/watch?v=AxLjW0K3H2Y,6년 전
2016 02 17 대학 흡연구역지정 3년 갈 길 먼 금연정책,https://www.youtube.com/watch?v=Fe6ZeubG7lU,6년 전
 tbsTV 금연정책 강화 1년 효과와 과제,https://www.youtube.com/watch?v=c6GN2OH8IwY,6년 전
쌍심지 2회 2부 금연정책 단속만이 능사인가 ,https://www.youtube.com/watch?v=JC_qkNn6KYg,6년 전
복지TV뉴스 1169회 주요 눈길 끄는 경기도의 금연 정책,https://www.youtube.com/watch?v=UXFt3RHQAe4,6년 전
 마방 담뱃값 인상 이후 금연정책 평가 및 방향 모색 20151110,https://www.youtube.com/watch?v=hdZGFfTEuM0,6년 전
금연장소에서 뻔뻔하게 흡연 금연벨 울려요 YTN,https://www.youtube.com/watch?v=G2mOf5cSj98,6년 전
담뱃값 인상 금연효과 체감하지 못하는 이유는 ,https://www.youtube.com/watch?v=LP0UF6Isd8A,6년 전
 NocutView 금연정책 담뱃값 인상으로 세수만 폭증,https://www.youtube.com/watch?v=UWf4pXGDPuQ,6년 전
 절차 복잡해 금연치료 참여 의료기관 중 실제 진료는 절반 ,https://www.youtube.com/watch?v=245DFsB1-Bg,6년 전
좁아지는 흡연구역 늘어나는 담배꽁초 쓰레기 YTN,https://www.youtube.com/watch?v=2yABqz6zy8c,6년 전
 흡연천국 베이징 강력한 금연정책 실효성 있나 ,https://www.youtube.com/watch?v=bEIjSt8FUeY,6년 전
PC방 금연 정책 시행 공기 질은 그대로 YTN 사이언스,https://www.youtube.com/watch?v=lCGnPfB4cKk,6년 전
 15 02 21 뉴스데스크 금연정책 곳곳에서 엇박자 흡연 부추기는 광고 여전,https://www.youtube.com/watch?v=dEeScoRPEO0,7년 전
금연정책 어떤 효과가 있을까요 ,https://www.youtube.com/watch?v=ogSIdfvpy70,7년 전
뉴질랜드 금연 정책 YTN,https://www.youtube.com/watch?v=MEiA_lAR0e0,7년 전
뉴질랜드 금연 정책 YTN,https://www.youtube.com/watch?v=m2iVthX0h_A,7년 전
 흡연부스 의 등장 금연 정책의 역행 YTN,https://www.youtube.com/watch?v=aIKmAfCV63A,7년 전
음식점 전면 금연에 업주들 헌법소원 YTN,https://www.youtube.com/watch?v=YZ7oNtEEhMw,7년 전
금연정책에 매출 뚝 헌법소원 나선다 YTN,https://www.youtube.com/watch?v=xBA_FPtAdWU,7년 전
 KTV 100년의 행복 희망 대한민국 지금은 금연 전쟁 중 2015년 금연 정책,https://www.youtube.com/watch?v=T-G4fd-ytuA,7년 전
 tbsTV 흡연자 비흡연자를 위한 정책,https://www.youtube.com/watch?v=gaFqszg4eq8,7년 전
 대구MBC뉴스 담뱃값은 올랐는데 연기처럼 허무한 금연정책,https://www.youtube.com/watch?v=98TNpmvZQ2Q,7년 전
새 금연정책 시행 첫날 아직 곳곳 혼란 YTN,https://www.youtube.com/watch?v=jRS5NC0jf3c,7년 전
 안동MBC뉴스 지역도 금연구역 확대,https://www.youtube.com/watch?v=snSrk4-bSkU,7년 전
10 02 김용익 의원 담뱃값 인상이 금연정책 이 될 수 있는 5가지 조건 제시,https://www.youtube.com/watch?v=fHHxndRGHis,7년 전
담뱃값 올릴 때 금연정책 예산안도 통과시켜야 2014 9 15 ,https://www.youtube.com/watch?v=X4nXe_VNGm8,7년 전
담뱃값 인상 효과적 금연정책 vs 우회 증세 김잔디 사회부 기자 YTN,https://www.youtube.com/watch?v=L9wUmDv3UK0,7년 전
담뱃값 인상 효과적 금연정책 vs 우회 증세 김잔디 사회부 기자 YTN,https://www.youtube.com/watch?v=W0aLHmYTBAA,7년 전
2007년 금연캠페인 외국의 금연정책편 ,https://www.youtube.com/watch?v=_JzIZD7ZwXs,7년 전
금연캠페인 외국의 금연정책편 ,https://www.youtube.com/watch?v=vj-FrtNzxLc,7년 전
 tbs tv 서울시민 간접흡연시간 감소,https://www.youtube.com/watch?v=k6MQCu3I_gE,7년 전
기업의 금연 정책 논란 어떻게 생각하십니까,https://www.youtube.com/watch?v=sv1f5Uqaq-8,7년 전
UC 캠퍼스 금연 시작,https://www.youtube.com/watch?v=zyouO6UUPic,8년 전
대학생들은 새로운 금연 정책을 드래그라고 부릅니다 ,https://www.youtube.com/watch?v=leN9Fb-4mUg&pp=ugMICgJrbxABGAE%3D,8년 전
 뉴스플러스 말리고 싸우고 금연 전쟁 효과는 의문 ,https://www.youtube.com/watch?v=kQs0M-ESx7A,8년 전
 영상 쿨까당 애연가보호법 금연정책 세수확보 ,https://www.youtube.com/watch?v=6QI_PH0yhhI,9년 전
1114 피플 금연정책 담배값 인상 배칠수 전영미의 9595쇼 ,https://www.youtube.com/watch?v=FWg2SGzo5s8,9년 전
 SSTV 김종국 김민정 미녀와 야수 커플 금연의 날 홍보대사 위촉,https://www.youtube.com/watch?v=H-CvpI-kWZE,9년 전
9월 첫활동 금연정책 및 관련법률홍보 여의도공원 mp4,https://www.youtube.com/watch?v=GsMLgVBYxvQ,10년 전
20110108 TVKOREA 로컬뉴스 다양한 금연정책,https://www.youtube.com/watch?v=Q0BuxA4VSDI,11년 전
